Rank,Dutch,English
1,de,the
2,zijn,to be
3,en,and
4,naar,to
5,van,of
6,een,a
7,ik,I
9,dat,that
10,hij,he
11,niet,not
12,zijn,his
13,haar,her
14,het,it
15,u,you
16,met,with
17,voor,for
18,Te doen,to do
19,ze,she
20,zoals,as
21,op,on
22,zeggen,to say
23,op,at
24,hem,him
25,van,from
26,maar,but
27,mijn,my
28,gaan,to go
29,ze,they
30,allemaal,all
31,door,by
32,deze,this
33,een,one
34,uit,out
35,omhoog,up
36,weten,to know
37,zo,so
38,een,an
39,zien,to see
40,kon,could
41,of,or
42,hen,them
43,te krijgen,to get
44,wij,we
45,net zoals,like
46,komen,to come
47,wat,what
48,maken,to make
49,er,there
50,wat betreft,about
51,welke,which
52,hun,their
53,in,into
54,denken,to think
55,Kijken,to look
56,als,if
57,wie,who
58,wanneer,when
59,nemen,to take
60,tijd,time
61,Nee,no
62,terug,back
63,willen,to will
64,jouw,your
65,meer,more
66,dan,then
67,naar beneden,down
68,goed,good
69,over-,over
70,vertellen,to tell
71,nu,now
72,hand-,hand
73,sommige,some
74,willen,to want
75,net,just
76,enkel en alleen,only
77,dan,than
78,manier,way
79,geven,to give
80,anders,other
81,dag,day
82,oog,eye
83,voor,before
84,vragen,to ask
85,vinden,to find
86,twee,two
87,weinig,little
88,lang,long
89,heel,very
90,voelen,to feel
91,ieder,any
92,ding,thing
93,te,too
94,hier,here
95,nooit,never
96,Verlaten,to leave
97,persoon,person
98,oud,old
99,hoofd,head
100,draaien,to turn
101,nog een keer,again
102,door,through
103,zelfs,even
104,gezicht,face
105,veel,much
106,uit,off
107,ons,us
108,eerste,first
109,rechts,right
110,onze,our
111,hoe,how
112,waar,where
113,na,after
114,haar,its
115,vrouw,woman
116,weg,away
117,leven,life
118,lijken,to seem
119,bellen,to call
120,nog steeds,still
121,horen,to hear
122,jaar,year
123,eigen,own
124,werken,to work
125,moeten,should
126,plaats,place
127,kamer,room
128,goed,well
129,staan,to stand
130,moeten,to must
131,zichzelf,himself
132,in de omgeving van,around
133,deur-,door
134,naar macht,to might
135,iets,something
136,proberen,to try
137,houden van,to love
138,huis,house
139,nacht,night
140,zetten,to put
141,Super goed,great
142,zodanig,such
143,houden,to keep
144,zitten,to sit
145,laatste,last
146,beginnen,to begin
147,omdat,because
148,die,those
149,deze,these
150,woord,word
151,gebruiken,to use
152,nodig hebben,to need
153,openen,to open
154,vasthouden,to hold
155,een ander,another
156,terwijl,while
157,meest,most
158,praten,to talk
159,te laten,to let
160,op,upon
161,ver,far
162,zonder,without
163,huis,home
164,glimlachen,to smile
165,altijd,always
166,stem,voice
167,kind,child
168,vader,father
169,lopen,to walk
170,jong,young
171,om te betekenen,to mean
172,niets,nothing
173,rennen,to run
174,hoewel,though
175,tegen,against
176,moeder,mother
177,dezelfde,same
178,naam,name
179,spreken,to speak
180,veel,many
181,geest,mind
182,weinig,few
183,brengen,to bring
184,licht,light
185,sluiten,to close
186,kant,side
187,ooit,ever
188,bewegen,to move
189,mogen,to may
190,vriend,friend
191,elk,every
192,drie,three
193,een keer,once
194,genoeg,enough
195,worden,to become
196,meisje,girl
197,onder,under
198,nieuwe,new
199,einde,end
200,leven,to live
201,ook,also
202,helpen,to help
203,tussen,between
204,wereld-,world
205,vallen,to fall
206,beginnen,to start
207,elk,each
208,wachten,to wait
210,stoppen,to stop
211,iets,anything
212,beide,both
213,voet,foot
214,een deel,part
215,klein,small
216,tot,until
217,werkelijk,really
218,te beantwoorden,to answer
219,laten zien,to show
220,jongen,boy
221,zichzelf,herself
222,liegen,to lie
223,zeker,sure
224,Cursus,course
225,gebeuren,to happen
226,geloven,to believe
227,terugbrengen,to return
228,achter,behind
229,punt,point
230,volgende,next
231,nog,yet
232,hart-,heart
233,bijna,almost
234,instellen,to set
235,lichaam,body
236,waarom,why
237,slagen,to pass
238,ochtend-,morning
239,uur,hour
240,geluid,sound
241,ontmoeten,to meet
242,wit,white
243,onthouden,to remember
244,soort,kind
245,hopen,to hope
246,bereiken,to reach
247,sterven,to die
248,slecht,bad
249,voor de helft,half
250,lachen,to laugh
251,familie,family
252,sinds,since
253,hoog,high
254,boek,book
255,er toe doen,matter
256,stap,step
257,veranderen,to change
258,vraag,question
259,aan de overkant,across
260,begrijpen,to understand
261,volgen,to follow
262,samen,together
263,vrouw,wife
264,trekken,to pull
265,langs,along
266,tafel,table
267,spelen,to play
268,verliezen,to lose
269,groot,big
270,huilen,to cry
271,zwart,black
272,haar-,hair
273,lezen,to read
274,voorkant,front
275,versturen,to send
276,heel,quite
277,breken,to break
278,mezelf,myself
279,zullen,to shall
280,nu al,already
281,minuut,minute
282,donker,dark
283,spoedig,soon
284,in de richting van,toward
285,geheel,whole
286,auto,car
287,venster,window
288,schudden,to shake
